Symbol,Company Name
MODEFENCE,Nifty India Defence Total Return Index
HEALTHIETF,Nifty Healthcare Index
GROWWDEFNC,Nifty India Defence Index- Total Return Index
MOCAPITAL,Nifty Capital Market Total Return Index
GROWWNET,Index
HNGSNGBEES,Hang Seng Index
AXISHCETF,Nifty Healthcare Index
HEALTHADD,DSP Nifty Healthcare ETF
INTERNET,Equity Index
TATSILV,Tata Silver Exchange Traded Fund
SILVERADD,DSP Silver ETF
NEXT30ADD,BSE SENSEX Next 30 Index
MOHEALTH,Motilal Oswal S&P BSE Healthcare ETF
HDFCSILVER,HDFC Silver ETF
AXISILVER,Axis Silver ETF
SILVERETF,UTI Silver Exchange Traded Fund (UTI Silver ETF)
SILVERBEES,Domestic price of Silver- based on LBMA Silver daily spot fixing price
SILVER1,Kotak Silver ETF
SBISILVER,SBI SILVER ETF
NIFTYQLITY,Aditya Birla Sun Life Nifty 200 Quality 30 ETF
ESILVER,Edelweiss Silver ETF
EVIETF,Nifty EV & New Age Automotive ETF
SILVERCASE,Commodity-Silver
SILVERIETF,Domestic Price of Silver
SILVRETF,Mirae Asset Silver ETF
SILVER,Physical price of Silver
METALIETF,Nifty Metal Index
GROWWSLVR,Commodity-Silver
PHARMABEES,Nifty Pharma TRI
MOTOUR,Nifty India Tourism Total Return Index
MOMOMENTUM,Nifty 200 Momentum 30 Total Return Index
METAL,Nifty Metal Total Return Index
MOMENTUM,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF
AUTOIETF,Nifty Auto Index
SELECTIPO,BSE Select IPO Index
NIF10GETF,UTI Nifty 10 yr Benchmark G-Sec ETF
FINIETF,ICICI Prudential Nifty Financial Services Ex-Bank ETF
SNXT30BEES,BSE Sensex Next 30 Index
SILVER360,Commodity-Silver
ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF
MIDCAP,Nifty Midcap 50 Index
MOM30IETF,ICICI Prudential Nifty 200 Momentum 30 ETF
MOMENTUM50,Nifty 500 Momentum 50 Total Return Index
HDFCMOMENT,HDFC NIFTY200 Momentum 30 ETF
AUTOBEES,Nifty Auto TRI
GROWWLOVOL,Nifty 500 Low Volatility 50 Index TRI
ALPHA,NIFTY Alpha 50 Index
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index
MOALPHA50,Nifty Alpha 50 Total Return Index
MID150CASE,Zerodha Nifty Midcap 150 ETF
UTISXN50,BSE Sensex Next 50
EVINDIA,Nifty EV and New Age Automotive Total Return Index
NIF100BEES,Nifty 100 TRI
NIFMID150,UTI Nifty Midcap 150 Exchange Traded Fund (ETF)
TOP100CASE,Zerodha Nifty 100 ETF
MON100,Nasdaq100
HDFCNIF100,HDFC NIFTY 100 ETF
ALPL30IETF,Nifty Alpha Low-Volatility 30 Index
TNIDETF,Nifty India Digital Index
MOVALUE,Motilal Oswal S&P BSE Enhanced Value ETF
MAKEINDIA,Nifty India Manufacturing Total Return Index
VAL30IETF,Nifty200 Value 30 Index
NIFTY50ADD,Nifty 50 Index
GROWWEV,Nifty EV and New Age Automotive Index
LOWVOLIETF,Nifty 100 Low Volatility 30 Index
CONSUMBEES,Nifty India Consumption TRI
CPSEETF,CPSE ETF
ESG,NIFTY100 ESG SECTOR LEADERS
CONSUMER,Nifty India New AgeConsumption
MOSMALL250,Motilal Oswal Nifty Smallcap 250 ETF
LOWVOL,Mirae Asset Nifty 100 Low Volatility 30 ETF
HDFCSML250,HDFC NIFTY Smallcap 250 ETF
MOQUALITY,Motilal Oswal S&P BSE Quality ETF
INFRAIETF,ICICI Prudential Nifty Infrastructure ETF
LICNMID100,LIC MF Nifty Midcap 100 ETF
IDFNIFTYET,Nifty 50
GOLD360,Commodity-Gold
HDFCMID150,HDFC NIFTY Midcap 150 ETF
AONENIFTY,Nifty 50 Index
MIDCAPETF,Mirae Asset Mutual Fund - Mirae Asset Nifty Midcap 150 ETF
MSCIINDIA,MSCI India Index
MOMIDMTM,Nifty Midcap 150 Momentum 50 Total Return Index
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES
CONSUMIETF,Nifty India Consumption Index
EQUAL50,Nifty50 Equal Weight
NEXT50,Nifty Next 50
MONIFTY500,Motilal Oswal Nifty 500 ETF
MAHKTECH,Hang Seng TECH Total Return Index
MIDQ50ADD,Nifty Midcap 150 Quality 50 Index
AXISVALUE,Nifty500 Value 50 TRI
NIFTYIETF,Nifty 50
GROWWNIFTY,Nifty 50 Index - TRI
ABSLPSE,Aditya Birla Sun Life Nifty PSE ETF
TOP15IETF,Nifty Top 15 Equal Weight Index
BSE500IETF,S&P BSE 500 index
SHARIABEES,Shariah
NETF,Tata Nifty 50 Exchange Traded Fund
HDFCNIFTY,Nifty 50
ABSLNN50ET,Nifty Next 50
MOPSE,Nifty PSE Total Return Index
PVTBANKADD,DSP Nifty Private Bank ETF
MOM100,Nifty Midcap 100
MID150BEES,Nifty Midcap 150 TRI
BFSI,Nifty Financial Services Index
NIFTYETF,Nifty 50
EQUAL50ADD,NIFTY 50 Equal Weight Index
EQUAL200,BSE 200 Equal Weight
MOLOWVOL,Nifty Midcap 100 TRI
NIF100IETF,Nifty 100
HEALTHY,Nifty Healthcare TRI
SMALLCAP,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF
NV20BEES,Nifty50 Value20 TRI
NIFTYBEES,Nifty 50
MIDSELIETF,S&P BSE Midcap Select Index
HDFCNEXT50,HDFC NIFTY NEXT 50 ETF
MOM50,Nifty 50
