Symbol,Company Name
VOO,Vanguard S&P 500 ETF
SPY,SPDR S&P 500 ETF Trust
IVV,iShares Core S&P 500 ETF
VTI,Vanguard Total Stock Market ETF
QQQ,Invesco QQQ Trust Series I
VUG,Vanguard Growth ETF
VEA,Vanguard FTSE Developed Markets ETF
IEFA,iShares Core MSCI EAFE ETF
VTV,Vanguard Value ETF
BND,Vanguard Total Bond Market ETF
AGG,iShares Core U.S. Aggregate Bond ETF
IWF,iShares Russell 1000 Growth ETF
GLD,SPDR Gold Shares
IEMG,iShares Core MSCI Emerging Markets ETF
VXUS,Vanguard Total International Stock ETF
VGT,Vanguard Information Technology ETF
IJH,iShares Core S&P Mid-Cap ETF
VWO,Vanguard FTSE Emerging Markets ETF
VIG,Vanguard Dividend Appreciation ETF
IBIT,iShares Bitcoin Trust ETF
VO,Vanguard Mid-Cap ETF
XLK,Technology Select Sector SPDR Fund
SPLG,SPDR Portfolio S&P 500 ETF
IJR,iShares Core S&P Small-Cap ETF
ITOT,iShares Core S&P Total U.S. Stock Market ETF
RSP,Invesco S&P 500® Equal Weight ETF
SCHD,Schwab US Dividend Equity ETF
BNDX,Vanguard Total International Bond ETF
EFA,iShares MSCI EAFE ETF
VB,Vanguard Small Cap ETF
IVW,iShares S&P 500 Growth ETF
VYM,Vanguard High Dividend Yield Index ETF
IWD,iShares Russell 1000 Value ETF
IWM,iShares Russell 2000 ETF
SCHX,Schwab U.S. Large-Cap ETF
QQQM,Invesco NASDAQ 100 ETF
SGOV,iShares 0-3 Month Treasury Bond ETF
VCIT,Vanguard Intermediate-Term Corporate Bond ETF
QUAL,iShares MSCI USA Quality Factor ETF
XLF,Financial Select Sector SPDR Fund
VT,Vanguard Total World Stock ETF
SCHF,Schwab International Equity ETF
IAU,iShares Gold Trust
VEU,Vanguard FTSE All-World ex-US Index Fund
TLT,iShares 20+ Year Treasury Bond ETF
IXUS,iShares Core MSCI Total International Stock ETF
SCHG,Schwab U.S. Large-Cap Growth ETF
VV,Vanguard Large Cap ETF
IWR,iShares Russell Midcap ETF
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF
IWB,iShares Russell 1000 ETF
JEPI,JPMorgan Equity Premium Income Fund
MBB,iShares MBS ETF
IVE,iShares S&P 500 Value ETF
SPYG,SPDR Portfolio S&P 500 Growth ETF
MUB,iShares National Muni Bond ETF
DIA,SPDR Dow Jones Industrial Average ETF Trust
BSV,Vanguard Short-Term Bond ETF
VCSH,Vanguard Short-Term Corporate Bond ETF
VTEB,Vanguard Tax-Exempt Bond ETF
DFAC,Dimensional U.S. Core Equity 2 ETF
IEF,iShares 7-10 Year Treasury Bond ETF
SCHB,Schwab U.S. Broad Market ETF
IUSB,iShares Core Total USD Bond Market ETF
VNQ,Vanguard Real Estate ETF
DGRO,iShares Core Dividend Growth ETF
JPST,JPMorgan Ultra-Short Income ETF
VGIT,Vanguard Intermediate-Term Treasury ETF
XLV,Health Care Select Sector SPDR Fund
VONG,Vanguard Russell 1000 Growth ETF
VBR,Vanguard Small Cap Value ETF
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF
MGK,Vanguard Mega Cap Growth ETF
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF
SPDW,SPDR Portfolio Developed World ex-US ETF
GOVT,iShares U.S. Treasury Bond ETF
SPYV,SPDR Portfolio S&P 500 Value ETF
EFV,iShares MSCI EAFE Value ETF
SMH,VanEck Semiconductor ETF
XLC,Communication Services Select Sector SPDR Fund
TQQQ,ProShares UltraPro QQQ
VGK,Vanguard FTSE Europe ETF
XLE,Energy Select Sector SPDR Fund
USHY,iShares Broad USD High Yield Corporate Bond ETF
BIV,Vanguard Intermediate-Term Bond ETF
IUSG,iShares Core S&P U.S. Growth ETF
JAAA,Janus Henderson AAA CLO ETF
SHY,iShares 1-3 Year Treasury Bond ETF
FBTC,Fidelity Wise Origin Bitcoin Fund
USMV,iShares MSCI USA Min Vol Factor ETF
IYW,iShares U.S. Technology ETF
VXF,Vanguard Extended Market ETF
XLI,Industrial Select Sector SPDR Fund
VGSH,Vanguard Short-Term Treasury ETF
MDY,SPDR S&P Midcap 400 ETF Trust
ACWI,iShares MSCI ACWI ETF
XLY,Consumer Discretionary Select Sector SPDR Fund
IGSB,iShares 1-5 Year Investment Grade Corporate Bond ETF
DYNF,iShares U.S. Equity Factor Rotation Active ETF
OEF,iShares S&P 100 ETF
